Title;Genre;Languages;Series or Movie;Country Availability;Runtime;Director;Actors;View Rating;Rotten Tomatoes Score;Metacritic Score;Awards Received;Awards Nominated For;Boxoffice;Release Date;Netflix Release Date;IMDb Votes;IMDb Score
Azhar;Biography, Drama, Sport;Hindi, Urdu;Movie;South Africa,Iceland,Singapore,South Korea,Russia,Hungary,India,Slovakia,Lithuania,Argentina,Spain,United Kingdom,Canada,United States,Switzerland,Belgium,Hong Kong,Australia,France,Poland,Sweden,Germany,Mexico,Romania,Japan,Czech Republic,Portugal,Thailand,Turkey,Greece,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Anthony D Souza;Prachi Desai, Nargis Fakhri, Lara Dutta, Emraan Hashmi;Not Rated;22;;;;;13-may-16;31/3/2017;5232;5.8
Chesapeake Shores;Drama, Family;English;Series;Hong Kong,Romania,Lithuania,Russia,France,India,United Kingdom,South Korea,Portugal,Japan,Switzerland,Mexico,Belgium,South Africa,Thailand,Hungary,Iceland,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Singapore,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Colombia;< 30 minutes;;Meghan Ory, Laci J Mailey, Jesse Metcalfe, Barbara Niven;TV-PG;;;;7;;14 Aug 2016;31/3/2017;4819;7.6
Shut In;Drama, Horror, Mystery, Thriller;English;Movie;France,South Africa,Italy;1-2 hour;Farren Blackburn;Oliver Platt, Naomi Watts, Jacob Tremblay, Charlie Heaton;PG-13;7;25;;1;$6,900,335;11-nov-16;28/3/2017;12766;4.8
conjuring 2;Horror, Mystery, Thriller;English;Movie;South Korea,Switzerland,Brazil,Germany,Italy,Argentina,Mexico,Colombia,United States,Japan;> 2 hrs;James Wan;Madison Wolfe, Vera Farmiga, Patrick Wilson, Frances O Connor;R;80;65;4;13;$102,470,008;10-jun-16;28/3/2017;226713;7.3
The Perfect Guy;Thriller;English;Movie;United Kingdom,Belgium,Lithuania,Hungary,India,Hong Kong,Thailand,Czech Republic,South Africa,Australia,Poland,Singapore,Slovakia,Malaysia,Romania,Greece,Israel,Mexico,Argentina,Brazil,Colombia;1-2 hour;David M. Rosenthal;L. Scott Caldwell, Sanaa Lathan, Morris Chestnut, Michael Ealy;PG-13;18;36;2;3;$57,027,435;11-sep-15;28/3/2017;9918;5.6
Jo Koy: Live from Seattle;Comedy;English;Movie;Lithuania,Russia,Germany,France,Iceland,Netherlands,Sweden,Spain,India,Belgium,Switzerland,Australia,United Kingdom,Brazil,Argentina,Canada,Mexico,Israel,Portugal,Singapore,Poland,Romania,Greece,South Africa,Hungary,Czech Republic,Slovakia,South Korea,Hong Kong,Japan,Italy,Thailand,Turkey;1-2 hour;Shannon Hartman;Jo Koy;;;;;;;28-mar-17;28/3/2017;1148;7.2
Everest;Action, Adventure, Biography, Drama, Thriller;English, Russian;Movie;United Kingdom;> 2 hrs;Baltasar Korm�kur;Ang Phula Sherpa, Jason Clarke, Thomas M. Wright, Martin Henderson;PG-13;72;64;1;8;$43,482,270;25-sep-15;27/3/2017;197872;7.1
Blood Money;Action, Crime, Drama, Thriller;Hindi, English;Movie;Lithuania,South Africa,Switzerland,Russia,United Kingdom,Canada,Australia,India,Iceland,Czech Republic,Slovakia,Germany,Hungary,Mexico,Argentina,Portugal,Thailand,Greece,Belgium,Sweden,Hong Kong,Singapore,Japan,Spain,France,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania;1-2 hour;Vishal Mahadkar;Manish Chaudhary, Kunal Khemu, Amrita Puri, Shekhar Shukla;Not Rated;;;;;;30-mar-12;27/3/2017;964;5
USS Indianapolis: Men of Courage;Action, Drama, History, Thriller, War;English, Japanese;Movie;Turkey,United States,Canada;> 2 hrs;Mario Van Peebles;Matt Lanter, Nicolas Cage, Tom Sizemore, Thomas Jane;R;17;30;;1;;14-oct-16;25/3/2017;11502;5.3
Nexo Knights;Animation, Action, Comedy, Family, Fantasy, Sci-Fi;English;Series;Belgium,Netherlands,Iceland,Sweden;< 30 minutes;;Alessandro Juliani, Ian Hanlin, Brian Drummond, Erin Mathews;TV-Y7;;;;;;13 Dec 2015;25/3/2017;276;5.5
Usotsuki Paradox;Romance;Japanese;Movie;Japan;1-2 hour;Kta Yoshida;Ruri Shinato, Akihiro Mayama, Nami Motoyama;;;;;;;7-sep-13;24/3/2017;14;5.7
Wolf Girl and Black Prince;Animation, Comedy, Romance;Japanese;Series;South Korea,Japan;< 30 minutes;;Yoshimasa Hosoya;TV-14;;;;;;4-oct-14;24/3/2017;1838;7.1
Wakako Zake;Comedy;Japanese;Series;Japan;< 30 minutes;;Kenta Kamakari, Rina Takeda, Yoshihiro Nozoe;;;;;;;;24/3/2017;37;7.2
Barbapapa;Animation, Short, Family, Fantasy;;Series;Belgium,Netherlands,Sweden;< 30 minutes;;Ricet Barrier;;;;;;;15 Dec 1974;24/3/2017;865;6.9
Paranormal Activity 4;Horror, Mystery;English, Ukrainian;Movie;France,Portugal,India,Mexico,Switzerland,Hungary,United Kingdom,Japan,Canada,Belgium,Brazil,Spain,Czech Republic,Italy,Australia,Poland,Argentina,Greece,Colombia,Romania,Germany;1-2 hour;Henry Joost, Ariel Schulman;Kathryn Newton, Matt Shively, Aiden Lovekamp, Katie Featherston;R;23;40;2;;$53,885,000;19-oct-12;24/3/2017;62460;4.6
The Most Hated Woman in America;Biography, Drama, History;English;Movie;Slovakia,Lithuania,Russia,Germany,France,Iceland,Netherlands,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Mexico,Canada,Argentina,United States,Israel,South Korea,Singapore,Portugal,Poland,Romania,Greece,South Africa,Czech Republic,Hong Kong,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;1-2 hour;Tommy O Haver;Melissa Leo, Brandon Mychal Smith, Juno Temple, Michael Chernus;TV-MA;36;41;;;;24-mar-17;24/3/2017;5531;6.1
Felipe Neto: My Life Makes No Sense;Documentary, Comedy;Portuguese, English, Spanish;Movie;Lithuania,Russia,Australia,Argentina,Canada,Hungary,South Africa,Mexico,United Kingdom,Japan,India,Spain,Portugal,Czech Republic;1-2 hour;Diego Pignataro;Felipe Neto, Maurcio Meirelles;;;;;;;24-mar-17;24/3/2017;199;4.4
Ingobernable;Crime, Drama, Mystery, Thriller;Spanish;Series;South Africa,Hungary,Czech Republic,Slovakia,Lithuania,Russia,Germany,France,Iceland,Netherlands,Sweden,Spain,India,Belgium,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Israel,Hong Kong,Singapore,Portugal,Romania,Poland,Greece,South Korea,Japan,Italy,Thailand,Turkey,Malaysia,Colombia;< 30 minutes;;Alberto Guerra, Leah Allers, Kate del Castillo, Erndira Ibarra;TV-MA;;;;3;;24-mar-17;24/3/2017;2666;7.1
The C Word;Drama;English;Movie;Israel,Portugal,Singapore,Poland,Romania,Greece,South Africa,Czech Republic,Slovakia,Lithuania,Russia,Germany,France,Iceland,Netherlands,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,South Korea,Hong Kong,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;1-2 hour;Tim Kirkby;Tom Hutch, Stephanie Vogt, Paul Nicholls, Sheridan Smith;;;;;2;;3-may-15;24/3/2017;481;7.7
Shuriken Sentai Ninninger vs. ToQger the Movie: Ninja in Wonderland;Action;Japanese;Movie;Japan;1-2 hour;Shjir Nakazawa;Gaku Matsumoto, Shunsuke Nishikawa, Y�ka Yano, Kaito Nakamura;;;;;;;23 Jan 2016;23/3/2017;8;6.5
Un Padre No Tan Padre;Comedy;Spanish;Movie;Brazil,Argentina,Mexico,Colombia;1-2 hour;Ra�l Martnez;Camila Selser, Arturo Barba, Hctor Bonilla, Jacqueline Bracamontes;PG-13;;;;2;$2,156,047;27 Jan 2017;23/3/2017;1093;6.9
Viral;Drama, Horror, Sci-Fi, Thriller;English;Movie;Brazil,Argentina,Malaysia,Mexico,Colombia;1-2 hour;Henry Joost, Ariel Schulman;Michael Kelly, Sofia Black-D Elia, Analeigh Tipton, Travis Tope;R;50;;;;;29-jul-16;22/3/2017;8226;5.5
The People vs. Fritz Bauer;Biography, Drama, Thriller;German, English, Yiddish, Spanish, French;Movie;Germany;1-2 hour;Lars Kraume;Ronald Zehrfeld, Lilith Stangenberg, Burghart Klauner, J�rg Sch�ttauf;R;85;61;16;10;$ 288,48;1-oct-15;21/3/2017;4933;7.1
Dave Chappelle;Comedy;English;Series;Russia,Lithuania,Germany,France,Iceland,Netherlands,India,Spain,Sweden,Belgium,Switzerland,Australia,United Kingdom,Brazil,Argentina,Mexico,Canada,United States,Israel,Hong Kong,Singapore,Portugal,Poland,Romania,Greece,South Africa,Czech Republic,Slovakia,Japan,Italy,Thailand,Hungary,South Korea,Turkey,Malaysia,Colombia;< 30 minutes;Stan Lathan;Dave Chappelle;TV-MA;;;;;;26-jul-00;21/3/2017;8888;8.8
El Reemplazante;Drama;Spanish;Series;Argentina,United States,Mexico,Colombia;< 30 minutes;;Ivan Alvarez de Araya, Sergio Hern�ndez, Sebasti�n Ayala, Karla Melo;;;;2;3;;1-oct-12;20/3/2017;499;8.5
Straight Outta Compton;Biography, Drama, History, Music;English;Movie;United Kingdom;> 2 hrs;F. Gary Gray;Corey Hawkins, Jason Mitchell, O Shea Jackson Jr., Neil Brown Jr.;R;89;72;29;40;$161,197,785;14 Aug 2015;20/3/2017;179971;7.8
Howards End;Drama, Romance;English, German;Movie;United States;> 2 hrs;James Ivory;Emma Thompson, Helena Bonham Carter, Vanessa Redgrave, Joseph Bennett;PG;94;88;32;49;$26,126,837;26-feb-93;18/3/2017;29006;7.4
Come and Find Me;Drama, Mystery, Thriller;English;Movie;United States,South Korea,Canada;1-2 hour;Zack Whedon;Garret Dillahunt, Chris Chalk, Annabelle Wallis, Aaron Paul;R;62;46;;1;;11-nov-16;18/3/2017;8182;5.7
Train to Busan;Action, Horror, Thriller;Korean, Hawaiian;Movie;Japan,South Korea,France,Thailand,Brazil,Australia,Poland,Argentina,Mexico,Colombia;1-2 hour;Sang-ho Yeon;Su-an Kim, Jung Yu-mi, Gong Yoo, Ma Dong-seok;Not Rated;94;72;32;39;$2,129,768;20-jul-16;18/3/2017;167271;7.6
Best Worst Thing That Ever Could Have Happened;Documentary;English;Movie;Israel,Singapore,Portugal,Poland,Greece,Romania,South Africa,Hungary,Czech Republic,Slovakia,Russia,Lithuania,France,Germany,Iceland,Netherlands,Sweden,Spain,India,Belgium,Switzerland,Australia,United Kingdom,Brazil,Argentina,Mexico,Canada,United States,South Korea,Hong Kong,Japan,Italy,Thailand,Turkey,Malaysia,Colombia;1-2 hour;Lonny Price;Donna Marie Asbury, Jason Alexander, David Cady, Jim Bonkosky;;95;81;;;$ 106,99;9-oct-16;18/3/2017;513;7.5
Mononoke;Animation, Fantasy, Horror, Mystery;Japanese;Series;Japan;< 30 minutes;;Michael C. Pizzuto, Takahiro Sakurai;TV-MA;;;;;;12-jul-07;17/3/2017;1674;8.3
Halfway;Comedy, Drama;Dutch;Movie;Japan;1-2 hour;Geoffrey Enthoven;Gilles De Schryver, Jurgen Delnaet, Evelien Bosmans, Koen De Graeve;;;;;2;;26-feb-14;17/3/2017;468;6.5
Shimajiro to Ehon no Kuni;Animation, Family;Japanese, Korean;Movie;Japan;1-2 hour;Isamu Hirabayashi, Gil Hoon Jung, Jazz Boon;Mei Sat, Kikuko Inoue, Kanon Kimoto, Miki Takahashi;;;;;;;19 Apr 2017;17/3/2017;11;7.1
Nodame Cantabile Paris;Comedy, Drama, Music;Japanese;Series;Japan;< 30 minutes;Hideki Takeuchi;Eita, Juri Ueno, Hiroshi Tamaki, Asami Mizukawa;;81;;;;;19 Dec 2009;17/3/2017;981;7.2
Nodame Cantabile Finale;Comedy, Drama, Music;Japanese;Series;Japan;< 30 minutes;Hideki Takeuchi, Yasuhiro Kawamura;Eita, Juri Ueno, Hiroshi Tamaki, Asami Mizukawa;;72;;;;;17 Apr 2010;17/3/2017;810;7.2
The Tatami Galaxy;Animation, Comedy, Drama, Mystery, Romance;Japanese;Series;France,Belgium,Japan,Hong Kong,Switzerland,Thailand,Italy,Singapore,India,Malaysia;< 30 minutes;;Rin Mizuhara, Hiroyuki Yoshino, Maaya Sakamoto, Shintar Asanuma;TV-14;;;1;;;22 Apr 2010;17/3/2017;3018;8.5
Bakuman.;Animation, Comedy, Drama, Romance;Japanese;Series;Japan;< 30 minutes;;Jun ichi Suwabe, Marc Diraison, Kevin T. Collins, Dan Green;;;;;;;2-oct-10;17/3/2017;1926;8
Star Trek Beyond;Action, Adventure, Sci-Fi, Thriller;English;Movie;Canada,Switzerland,France;> 2 hrs;Justin Lin;Zoe Saldana, Karl Urban, Zachary Quinto, Chris Pine;PG-13;86;68;3;29;$158,848,340;22-jul-16;17/3/2017;228553;7.1
Marvels Iron Fist;Action, Adventure, Crime, Fantasy, Sci-Fi;English, Mandarin, Japanese, Russian, Korean;Series;Germany,France,Iceland,Netherlands,India,Sweden,Spain,Belgium,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Israel,Hong Kong,Singapore,South Korea,Portugal,Poland,Romania,Greece,South Africa,Hungary,Czech Republic,Slovakia,Russia,Lithuania,Japan,Italy,Thailand,Turkey,Malaysia,Colombia;< 30 minutes;;Finn Jones, Jessica Henwick, Jessica Stroup, Tom Pelphrey;TV-MA;;;;2;;17-mar-17;17/3/2017;114716;6.5
Julies Greenroom;Comedy, Family, Musical;English;Series;Germany,France,Iceland,Netherlands,India,Sweden,Spain,Belgium,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Israel,Singapore,South Korea,Portugal,Poland,Romania,Greece,South Africa,Hungary,Czech Republic,Slovakia,Russia,Lithuania,Hong Kong,Japan,Italy,Thailand,Turkey,Malaysia,Colombia;< 30 minutes;;Julie Andrews, Jennifer Barnhart, Tyler Bunch, Giullian Yao Gioiello;;;;;4;;17-mar-17;17/3/2017;291;8.4
Deidra and Laney Rob a Train;Comedy, Crime, Drama;English;Movie;Germany,France,Iceland,Netherlands,India,Sweden,Spain,Belgium,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,Hong Kong,Singapore,South Korea,Portugal,Poland,Romania,Greece,South Africa,Hungary,Czech Republic,Slovakia,Russia,Lithuania,Japan,Israel,Italy,Thailand,Turkey,Malaysia,Colombia;1-2 hour;Sydney Freeland;Rachel Crow, Lance Gray, Ashleigh Murray, Danielle Nicolet;TV-14;92;65;;1;;17-mar-17;17/3/2017;1632;6.1
Pandora;Action, Drama, Thriller;Korean;Movie;Lithuania,Germany,France,Iceland,Spain,Sweden,India,Belgium,Switzerland,Australia,United Kingdom,Mexico,Argentina,Canada,United States,Hong Kong,Singapore,South Korea,Portugal,Poland,Romania,Greece,South Africa,Czech Republic,Slovakia,Russia,Japan,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia;> 2 hrs;Jong-woo Park;Seung-Hoon Choi, Bae Gang-Yoo, Sung-Wook Eo, Do-bin Baek;Not Rated;;;;6;;17-mar-17;17/3/2017;5910;6.7
Outback Truckers;Documentary, Reality-TV;English;Series;United States,Russia,Lithuania,Hungary,Czech Republic,South Africa,Slovakia,Malaysia,Iceland,India;< 30 minutes;;Luke Hewitt;;;;;1;;20-oct-12;17/3/2017;200;7.5
Naledi: A Baby Elephants Tale;Documentary;English;Movie;Argentina,Russia,United Kingdom,Iceland,Czech Republic,Canada,Lithuania,South Africa,Spain,Australia,Portugal,Germany,Hungary,Switzerland,France,Japan,Mexico,South Korea,Belgium,Sweden,Greece,Hong Kong,Singapore,Thailand,Poland,India,United States,Malaysia,Brazil,Netherlands,Israel,Italy,Turkey,Colombia;1-2 hour;Geoffrey Luck, Ben Bowie;;;;;;2;;17-mar-17;17/3/2017;328;7.6
Samurai Gourmet;Adventure, Comedy;Japanese;Series;Israel,Singapore,Portugal,Poland,Romania,Greece,South Africa,Czech Republic,Slovakia,Russia,Lithuania,Germany,France,Iceland,Netherlands,India,Sweden,Spain,Belgium,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,South Korea,Hong Kong,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia;< 30 minutes;;Honami Suzuki, Tetsuji Tamayama, Naoto Takenaka;;;;;;;17-mar-17;17/3/2017;1740;8.2
Crime Files: The Homefront;Crime;English;Series;Brazil,Argentina,Mexico,Colombia;< 30 minutes;;Roger Leopardi;;;;;;;1-jun-16;15/3/2017;28;7.4
Blair Witch;Horror, Mystery, Thriller;English;Movie;Romania,Hungary,South Africa,Singapore,South Korea;1-2 hour;Adam Wingard;James Allen McCune, Brandon Scott, Callie Hernandez, Corbin Reid;R;37;47;3;7;$20,777,061;16-sep-16;15/3/2017;41566;5
Cheer Squad;Reality-TV;English;Series;United States,Australia;< 30 minutes;;Ali Moffatt;;;;;1;;6-jul-16;15/3/2017;144;7.4
Trainwreck;Comedy, Drama, Romance;English, Mandarin;Movie;United Kingdom,Canada;> 2 hrs;Judd Apatow;Colin Quinn, Carla Oudin, Devin Fabry, Amy Schumer;R;84;75;5;27;$110,212,700;17-jul-15;15/3/2017;129494;6.2
Police Academy 2: Their First Assignment;Comedy;English;Movie;Brazil,Argentina,Sweden,Mexico,Colombia;1-2 hour;Jerry Paris, James Signorelli;David Graf, Steve Guttenberg, Michael Winslow, Bubba Smith;PG-13;31;39;1;;$55,600,000;29-mar-85;15/3/2017;51640;5.8
Naruto Shippuden: Road to Ninja;Animation, Action, Adventure, Comedy, Fantasy;Japanese;Movie;France,Belgium;1-2 hour;Hayato Date;Emi Shinohara, Chie Nakamura, Toshiyuki Morikawa, Junko Takeuchi;TV-14;78;;2;1;$ 43,17;29 Aug 2014;15/3/2017;5765;7.7
Naruto Shippuden: The Movie: The Lost Tower;Animation, Action, Adventure, Fantasy;Japanese;Movie;Belgium,Canada,United States,France,United Kingdom,Japan;1-2 hour;Masahiko Murata;Satoshi Hino, Chie Nakamura, Rikiya Koyama, Junko Takeuchi;TV-PG;;;;2;;17-sep-13;15/3/2017;2852;7
A Murder in the Park;Documentary, Crime, History;English;Movie;Portugal,Brazil,Spain,Argentina,Mexico,Colombia;1-2 hour;Shawn Rech, Brandon Kimber;Jason Patrick, Joseph Alex, Dexter Hammett, Denny Castiglione;PG-13;76;70;;;$ 12,09;26-jun-15;15/3/2017;1085;7.3
One 2 Ka 4;Action, Comedy, Crime, Drama, Thriller;Hindi;Movie;South Africa,Czech Republic,Slovakia,Russia,Lithuania,Iceland,India,Australia,Canada,United States,Romania,Singapore,Spain,France,Switzerland,Belgium,Mexico,Germany,Thailand,United Kingdom,Hungary,Argentina,Greece,Malaysia,Netherlands,Israel,Colombia;> 2 hrs;Shashilal K. Nair;Nirmal Pandey, Shah Rukh Khan, Juhi Chawla, Jackie Shroff;Not Rated;43;;;;;30-mar-01;15/3/2017;4798;5.4
Sunrise;Drama, Romance;English;Movie;France;1-2 hour;F.W. Murnau;Margaret Livingston, George O Brien, Bodil Rosing, Janet Gaynor;Passed;98;;6;2;;4-nov-27;15/3/2017;47011;8.1
Notes on Blindness;Documentary, Drama;English;Movie;Israel,Singapore,Poland,Romania,Greece,Portugal,Slovakia,Czech Republic,Russia,Lithuania,Iceland,Netherlands,Sweden,Spain,India,Australia,Brazil,Argentina,Canada,United States,South Korea,Hong Kong,Japan,Mexico,South Africa,France,Germany,Belgium,Switzerland,Italy,Thailand,Hungary,Turkey,United Kingdom,Malaysia,Colombia;1-2 hour;Peter Middleton, James Spinney;Jamie Bradley, Marilyn Hull, Miranda Beinart-Smith, John M. Hull;;95;75;4;15;;1-jul-16;15/3/2017;1969;7.1
O ltimo Cine Drive-in;Comedy, Drama, Family;Portuguese;Movie;Brazil;1-2 hour;Iber� Carvalho;Rita Assemany, Vincius Ferreira, Othon Bastos, Andr Deca;;83;;8;5;;20 Aug 2015;15/3/2017;251;6.9
Jim Norton: Mouthful of Shame;Comedy;English;Movie;Netherlands,India,Spain,Sweden,Belgium,Switzerland,Brazil,Argentina,Mexico,Canada,United States,Israel,Poland,Greece,Romania,Portugal,South Africa,Hungary,Czech Republic,Slovakia,Russia,Lithuania,France,Germany,South Korea,Hong Kong,Japan,Iceland,Italy,United Kingdom,Australia,Turkey,Singapore,Thailand;1-2 hour;Shannon Hartman;Jim Norton;TV-MA;;;;;;14-mar-17;14/3/2017;1239;6.9
Eden of the East the Movie;Animation, Action, Comedy, Drama, Mystery;Japanese, English;Series;Japan;< 30 minutes;Kenji Kamiyama;Leah Clark, Duncan Brannan, John Burgmeier, Christine M. Auten;Not Rated;;;;;;28-nov-09;13/3/2017;1414;7
Cross Game;Animation, Romance, Sport;Japanese;Series;Japan;< 30 minutes;;Miyu Irino;;;;;;;05 Apr 2009;13/3/2017;368;8.2
Chibi Maruko-chan Movie;Animation, Comedy, Drama, Family;Japanese;Movie;Japan;1-2 hour;;;;;;;;;;13/3/2017;499;8
Ping Pong the Animation;Animation, Drama, Sport;Japanese;Series;Japan;< 30 minutes;;Yosei Bun, Koki Uchiyama, Alan Chow, Aaron Dismuke;TV-14;;;2;;;10 Apr 2014;13/3/2017;2673;8.6
MAJOR;Animation, Sport;Japanese;Series;Japan;< 30 minutes;;Natsumi Takamori, Kana Hanazawa;;;;;;;13-nov-04;13/3/2017;285;8.2
The Free State of Jones;Short, Action, Drama, History;English;Movie;Argentina,Hungary,Romania,Czech Republic,United States,Canada,Slovakia,Brazil,Netherlands,Italy,Mexico,Colombia;> 2 hrs;Scott Varnado;Sauvion Morkunas, Daniel Hymanson, Jonna Humphries, Bob DeVito;;;;;;;6-may-10;13/3/2017;14;7.8
O Amor no DIv�;Comedy;Portuguese;Movie;Portugal,Singapore,Greece,Romania,Poland,South Africa,Slovakia,Czech Republic,Germany,France,Hungary,Iceland,Russia,Lithuania,Netherlands,Sweden,Spain,Belgium,India,Switzerland,Australia,United Kingdom,Brazil,Mexico,Argentina,Canada,United States,South Korea,Hong Kong,Japan,Israel,Italy,Thailand,Turkey,Malaysia,Colombia;1-2 hour;Alexandre Reinecke;Daniel Dantas, Zez Polessa, Fernanda Paes Leme, Paulo Vilhena;;;;1;;;08 Dec 2016;13/3/2017;276;5.6
Keanu;Action, Comedy, Crime;English;Movie;South Korea;1-2 hour;Peter Atencio;Tiffany Haddish, Keegan-Michael Key, Jordan Peele, Method Man;R;78;63;4;5;$20,591,853;29 Apr 2016;13/3/2017;45751;6.3
Gods of Egypt;Action, Adventure, Fantasy;English;Movie;Romania,Japan,Hong Kong,Belgium,Thailand,Hungary,Brazil,Czech Republic,Netherlands,India,Argentina,Greece,Malaysia,Slovakia,Sweden,Turkey,Germany,Switzerland,Mexico,Colombia,Spain;> 2 hrs;Alex Proyas;Courtney Eaton, Nikolaj Coster-Waldau, John Samaha, Brenton Thwaites;PG-13;15;25;2;14;$31,153,464;26-feb-16;13/3/2017;106614;5.4
Now You See Me 2;Action, Adventure, Comedy, Crime, Mystery, Thriller;English, Mandarin, Cantonese;Movie;Romania,Japan,South Korea,Hungary,Switzerland,Belgium,India,United Kingdom,Canada,Thailand,Netherlands,Czech Republic,Germany,Australia,Malaysia,Sweden,Spain,Mexico,Argentina,Brazil,Colombia;> 2 hrs;Jon M. Chu;Woody Harrelson, Dave Franco, Mark Ruffalo, Jesse Eisenberg;PG-13;33;46;;4;$65,075,540;10-jun-16;13/3/2017;249925;6.5
Hello, My Name Is Doris;Comedy, Drama, Romance;English;Movie;Canada,India,Belgium,Turkey;1-2 hour;Michael Showalter;Norma Michaels, Stephen Root, Sally Field, Edmund Lupinski;R;85;63;2;10;$14,444,999;01 Apr 2016;13/3/2017;18757;6.6
Coco;Comedy, Drama;French;Movie;Belgium,France;1-2 hour;Gad Elmaleh;Gad Elmaleh, Jean Benguigui, Pascale Arbillot, Manu Payet;;15;;;;;18-mar-09;13/3/2017;1436;3.3
Concussion;Biography, Drama, Sport;English;Movie;South Korea,Japan,Portugal,Hong Kong,Belgium,France,Iceland,Canada,Switzerland,Russia,Thailand,Brazil,Netherlands,Israel,Italy,Singapore,India,Argentina,Malaysia,Sweden,Mexico,Colombia;> 2 hrs;Peter Landesman;Alec Baldwin, Will Smith, Gugu Mbatha-Raw, Albert Brooks;PG-13;59;55;4;16;$34,542,474;25 Dec 2015;12/3/2017;87293;7.2
Ricki and the Flash;Comedy, Drama, Music;English;Movie;Belgium,Switzerland,Italy,Netherlands,Portugal;1-2 hour;Jonathan Demme;Rick Rosas, Joe Vitale, Meryl Streep, Rick Springfield;PG-13;65;54;;4;$26,822,144;07 Aug 2015;12/3/2017;22451;5.9
Mr. Six;Action, Drama;Chinese;Movie;Portugal,Brazil,Spain,Argentina,Mexico,Colombia;> 2 hrs;Hu Guan;Xiaogang Feng, Qing Xu, Hanyu Zhang, Kris Wu;PG-13;;57;24;43;$1,415,450;18 Dec 2015;12/3/2017;3372;7
Silvana Sin Lana;Comedy, Drama, Romance;Spanish;Series;United States;< 30 minutes;;Valeria Menendez Rodriguez, Maritza Rodrguez, Carlos Ponce, Marimar Vega;TV-14;;;;;;19-jul-16;12/3/2017;271;7.5
Burning Sands;Drama;English;Movie;Israel,Singapore,Hong Kong,South Korea,Poland,Greece,Romania,Portugal,South Africa,Czech Republic,Slovakia,Hungary,Lithuania,Russia,Germany,France,Iceland,India,Spain,Sweden,Netherlands,Belgium,Switzerland,Australia,United Kingdom,Brazil,Argentina,Mexico,Canada,United States,Japan,Italy,Thailand,Turkey,Malaysia,Colombia;1-2 hour;Gerard McMurray;Trevor Jackson, DeRon Horton, Tosin Cole, Alfre Woodard;TV-MA;88;63;;4;;10-mar-17;12/3/2017;2576;6.1
